Date_Quarterly,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019
Brazil,6.21,7,6.64,7.49,7.63,7.8,7.64,10.65,15.63,16.86,15.22,11.39,6.75,5.49,6.9,7.23,7.44,7.79,6.2,6.09,5.51,4.3,3.84,3.14,2.99,3.29,4.02,4.25,4.63,5.56,6.26,6.23,5.78,5.18,4.4,4.23,4.86,5.11,4.6,5.58,6.1,6.59,7.14,6.7,5.77,5,5.24,5.61,6.35,6.56,6.07,5.84,5.81,6.39,6.59,6.52,7.66,8.51,9.53,10.36,10.14,9.15,8.73,7.04,4.89,3.56,2.57,2.82,2.79,3.34,4.4,4.12,4.08,4.32,3.18,3.37
Colombia,8.11,7.92,8.03,7.81,6.65,5.92,6.03,6.81,7.41,7.59,7.14,6.4,6.23,5.64,6.02,5.74,5.24,4.96,4.93,5.07,4.28,4.03,4.54,4.32,5.25,6.17,5.33,5.43,6.09,6.43,7.66,7.78,6.59,4.76,3.21,2.36,2.01,2.1,2.28,2.7,3.25,3.03,3.48,3.9,3.5,3.35,3.07,2.76,1.91,2.06,2.25,1.84,2.32,2.81,2.92,3.54,4.24,4.49,4.85,6.35,7.68,8.25,8.11,6.06,5.11,4.34,3.75,4.08,3.39,3.16,3.15,3.26,3.13,3.33,3.79,3.84
Malaysia,1.54,1.57,1.37,1.19,1.45,1.94,2.07,1.77,1.3,0.9,1,1.16,0.93,1.15,1.47,2.13,2.42,2.89,3.37,3.22,3.75,4.12,3.55,3.03,2.64,1.48,1.79,2.2,2.57,4.85,8.41,5.91,3.71,1.3,-2.29,-0.18,1.28,1.54,1.8,1.87,2.78,3.35,3.36,3.21,2.28,1.72,1.35,1.31,1.5,1.78,2.16,2.97,3.46,3.29,3.01,2.82,0.67,2.15,2.99,2.6,3.44,1.93,1.35,1.69,4.29,3.96,3.76,3.49,1.68,1.2,0.36,0.3,-0.3,,,
Mexico,7.46,6.88,5.98,5.22,4.75,4.77,5.25,5.34,5.44,4.74,4.07,3.97,4.32,4.29,4.79,5.34,4.4,4.51,3.97,3.1,3.7,3.13,3.54,4.14,4.1,3.97,3.99,3.81,3.89,4.92,5.48,6.18,6.18,5.96,5.14,3.98,4.75,3.96,3.67,4.25,3.46,3.3,3.37,3.5,3.88,3.87,4.59,4.11,3.69,4.46,3.44,3.65,4.16,3.59,4.15,4.18,3.07,2.94,2.61,2.27,2.69,2.56,2.78,3.24,4.98,6.1,6.48,6.59,5.31,4.57,4.91,4.82,4.1,,,
South Africa,7.42,6.41,4.77,4.3,5.77,7.83,10.72,13.57,11.4,8.28,4.38,-0.73,-1.76,-1.72,-0.88,1.65,1.93,1.86,2.4,2.06,2.05,2.54,3.76,4.6,5.14,6.01,6.28,7.23,8.95,9.92,11.27,10.11,8.85,8.15,6.28,5.72,5.38,4.17,3.38,3.49,3.68,4.65,5.43,6.21,6.18,5.9,5.2,5.63,5.88,5.57,6.26,5.43,5.8,6.64,6.39,5.69,4.28,4.53,4.51,4.83,6.51,6.5,6.41,6.87,6.5,5.21,4.56,4.52,3.95,4.31,4.92,4.88,4.15,4.44,4.16,3.74
Turkey,35.63,52.29,58.59,67.45,70.33,47.04,39.46,31.61,26.53,25.86,21.07,14.21,9.48,7.42,8.08,9.42,8.62,8.61,7.91,7.62,8.08,9.61,10.83,9.83,10.32,9.51,7.14,8.16,8.81,10.34,11.65,10.93,8.37,5.7,5.33,5.71,9.29,9.22,8.38,7.43,4.34,5.89,6.37,9.2,10.49,9.42,9.04,6.77,7.21,6.98,8.31,7.48,8.01,9.4,9.24,8.76,7.47,7.74,7.3,8.16,8.6,6.93,8.04,7.57,10.21,11.5,10.56,12.27,10.28,12.79,19.44,22.37,19.91,17.95,13.53,10.31
Senegal,1.7,2.09,3.89,4.18,3.49,3.56,1.64,0.75,0.83,-0.6,-0.08,-0.35,-0.24,0.56,0.68,1.05,0.57,1.11,2.45,2.69,2.38,2.21,1.29,2.59,5.16,5.88,6.14,6.21,6.06,7.72,8.79,6.8,1.79,-1.77,-4.75,-4.02,-0.68,-0.05,2.51,3.13,3.63,4.52,2.8,2.71,2.12,0.94,0.93,1.69,0.28,0.75,1.12,0.69,-0.06,-1.29,-1.31,-1.68,-1.64,0.23,0.69,1.25,1.38,0.41,0.9,0.66,2.09,1.75,1.5,-0.01,0.67,0.21,0.32,0.64,0.46,2.48,1.8,2.31
Vietnam,,,,,,,,,3.91,3.63,2.84,2.57,4.24,7.11,9.71,9.96,9.06,8.06,7.56,8.49,8.31,7.4,7.24,6.76,6.63,7.42,8.59,10.67,16.4,24.49,27.75,23.56,14.43,6.2,2.56,4.61,8.52,8.99,8.43,10.84,12.8,19.37,22.53,19.83,15.93,8.57,5.63,6.96,6.91,6.55,7.02,5.91,4.83,4.72,4.29,2.56,0.73,0.98,0.5,0.31,1.25,2.19,2.77,4.45,4.96,3.34,3.09,2.73,2.82,3.75,4.14,3.44,2.63,2.65,2.23,3.66
Gambia,,,,,,,,,,,,,,,,,,,,4.41,2.06,3.53,2.54,1.43,0.78,5.37,2.77,6.41,6.24,6.03,4.44,4.38,1.74,4.99,6.65,4.56,6.9,5.85,3.14,2.54,5.05,3.77,4.25,6.19,5.97,4.8,5.28,5.47,4.13,4.34,4.25,4.02,4.03,4.29,4.66,5.7,5.28,5.7,5.99,5.82,5.95,5.5,5.57,5.9,6.79,6.81,6.86,7.03,6.79,6.57,7.23,6.86,7.05,7.36,7.61,8.03
