Date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Senegal,-3.8,-4.6,-5,-5.1,-6.2,-6.2,-9.6,-11.3,-5.3,-3.5,-6.5,-8.8,-8.3,-7,-5.7,-4.2,-7.3,-8.8,-7.9
Vietnam,2.2,-1.4,-3.8,-2.5,-0.8,-0.2,-7.1,-8.6,-5.1,-3,0.1,4.7,3.6,3.7,-0.9,0.2,-0.6,1.9,3.8
Brazil,-4.4,-1.8,0.4,1.3,1.3,1,-0.2,-2.1,-1.8,-3.9,-3.2,-3.8,-3.6,-4.5,-3.5,-1.7,-1.2,-2.9,-3.6
Colombia,-1.1,-1.3,-1,-0.7,-1.3,-1.8,-3,-2.7,-1.9,-3,-2.9,-3.1,-3.2,-5.2,-6.4,-4.5,-3.2,-4.2,-4.6
South Africa,0.2,0.8,-0.7,-2.5,-2.8,-4,-4.8,-5,-2.4,-1.3,-2,-4.7,-5.3,-4.8,-4.3,-2.7,-2.4,-2.9,-2.6
Turkey,1.9,-0.3,-2.4,-3.5,-4.1,-5.6,-5.4,-5.1,-1.8,-5.7,-8.9,-5.4,-5.8,-4.1,-3.1,-3.1,-4.7,-2.6,1.4
Malaysia,7.9,7.1,12.1,12.1,13.9,16.1,15.4,16.9,15.7,10.1,10.9,5.2,3.5,4.4,3,2.4,2.8,2.2,3.5
Mexico,-2.2,-1.5,-0.5,-0.5,-0.6,-0.3,-0.9,-1.5,-0.8,-0.4,-0.9,-1.5,-2.5,-1.9,-2.7,-2.3,-1.9,-2.1,-0.4
Gambia,,,0.5,-3.2,-4.2,-6.2,-6.2,-0.4,1.9,1.1,-7.7,-6.6,-7.1,-6.9,-3.9,-5.1,-6.3,-8.1,-2
